日付,勘定科目,品目,金額
2023/3/31,従業員給与（6212）,従業員給与（２名）,359500
2023/3/31,法定福利費（6312）,唐津社会保険事務所社会保険料・・・２月分,117848
2023/3/31,法定福利費（6312）,唐津社会保険事務所社会保険料・・・３月分,116402
2023/3/31,厚生費（6226）,嶺川店長退職花代,3000
2023/3/31,事務用消耗品費（6217）,電子複写機コピー代,1100
2023/3/31,事務用消耗品費（6217）,チューブファイル代,2640
2023/3/31,事務用消耗品費（6217）,コピー用紙代,2420
2023/3/31,通信交通費（6218）,ＮＴＴファイナンス通話料,10912
2023/3/31,水道光熱費（6219）,電気料金・・・電灯,128105
2023/3/31,水道光熱費（6219）,電気料金・・・電力,83294
2023/3/31,保険料（6224）,賠償責任（施設・生産物）保険料,60330
2023/3/31,備品・消耗品費（6225）,トイレットペーパー代・・・3月6日,6600
2023/3/31,備品・消耗品費（6225）,トイレットペーパー代・・・3月17日,6600
2023/3/31,備品・消耗品費（6225）,トイレットペーパー代・・・3月24日,6600
2023/3/31,備品・消耗品費（6225）,トイレットペーパー代・・・4月7日,33000
2023/3/31,備品・消耗品費（6225）,ペーパータオル代・・・3月27日,5780
2023/3/31,備品・消耗品費（6225）,ＰＰバンド代,2156
2023/3/31,備品・消耗品費（6225）,割箸代,792
2023/3/31,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,31752
2023/3/31,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,55000
2023/3/31,施設管理諸費（6227B）,中央警備保障機械警備料・・・２月分,37400
2023/3/31,施設管理諸費（6227B）,中央警備保障機械警備料・・・３月分,37400
2023/3/31,施設管理諸費（6227B）,クリーン・リース代,2662
2023/3/31,施設管理諸費（6227B）,塵芥収集運搬料,62800
2023/3/31,施設管理諸費（6227B）,佐用姫像保守点検業務代,204600
2023/3/31,施設管理諸費（6227B）,自動ドア装置保守点検業務,13200
2023/3/31,車両費（6228）,ガソリン代・・・江頭火薬石油・・・3月10日,3000
2023/3/31,車両費（6228）,ガソリン代・・・福地石油・・・3月17日,2800
2023/3/31,車両費（6228）,ガソリン代・・・福地商事・・・3月31日,1809
2023/3/31,リース料（6234）,ソフトサーバーリース代,15510
2023/3/31,雑費(6231),コカ・コーラ振込手数料・・・3月18日分,660
2023/3/31,雑費(6231),振込手数料（やまや）・・・3月6日,220
2023/3/31,雑費(6231),振込手数料（牛津かまぼこ）,220
2023/3/31,雑収入（7118）,雇用保険料預り（２月分）,5506
2023/4/30,商品売上高（4111）,野菜等,522100
2023/4/30,商品売上高（4111）,温泉たまご,87410
2023/4/30,商品売上高（4111）,あら塩・灘の塩（食塩）,3230
2023/4/30,商品売上高（4111）,ドリンク類（トライアル）,13810
2023/4/30,商品売上高（4111）,ドリンク類（コスモス）,1600
2023/4/30,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,107320
2023/4/30,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,25205
2023/4/30,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,6340
2023/4/30,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,37220
2023/4/30,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,3600
2023/4/30,商品売上高（4111）,天ぷら・ちくわほか,17790
2023/4/30,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,24380
2023/4/30,商品売上高（4111）,やまや（明太高菜ほか）,26410
2023/4/30,商品売上高（4111）,いきさ屋（豆腐）,54085
2023/4/30,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳・シュークリーム）,17435
2023/4/30,商品売上高（4111）,ソフトクリーム・コーン,944830
2023/4/30,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,6920
2023/4/30,商品売上高（4111）,キムチたけのこほか,11740
2023/4/30,商品売上高（4111）,キムチたけのこほか,1911425
2023/4/30,商品売上高（4111）,野菜袋（アサヒ）,31485
2023/4/30,商品売上高（4111）,中島潔グッズ,4025
2023/4/30,商品売上高（4111）,クロネコヤマト宅急便,10535
2023/4/30,商品売上高（4111）,宅配料コレクト,1725
2023/4/30,商品売上高（4111）,道の駅切符,3600
2023/4/30,商品売上高（4111）,連絡線記念指定券,1400
2023/4/30,商品売上高（4111）,道の駅スタンプブック,5760
2023/4/30,商品売上高（4111）,指定ごみ袋,20500
2023/4/30,商品売上高（4111）,粗大ごみ処理券,3680
2023/4/30,商品売上高（4111）,チオビタ・新グロモント（トライアル）,1700
2023/4/30,商品売上高（4111）,ソフトクリーム用カップ・スプーン,400
2023/4/30,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,270
2023/4/30,商品売上高（4111）,アルミ保温保冷バッグ,1920
2023/4/30,商品売上高（4111）,レジ袋,13265
2023/4/30,商品売上高（4111）,あったか銀紙,100265
2023/4/30,手数料収入（4112）,風のふるさと館委託販売手数料,2420875
2023/4/30,その他の収入（4114）,バーコードラベル代金,30400
2023/4/30,その他の収入（4114）,テナント使用料,45250
2023/4/30,その他の収入（4114）,テナント電気料,29408
2023/4/30,その他の収入（4114）,テナント水道料,32470
2023/4/30,商品仕入高（5211）,野菜・・・辻青果,379640
2023/4/30,商品仕入高（5211）,たまご,42120
2023/4/30,商品仕入高（5211）,九州あら塩 ・・・九州ソルト佐賀支店,4320
2023/4/30,商品仕入高（5211）,ドリンク類（トライアル）・・・4月7日,6781
2023/4/30,商品仕入高（5211）,ドリンク類（トライアル）・・・4月21日,10798
2023/4/30,商品仕入高（5211）,ドリンク類（コスモス）・・・4月21日,1121
2023/4/30,商品仕入高（5211）,伊藤園お茶ほか・・・4月10日,21228
2023/4/30,商品仕入高（5211）,伊藤園お茶ほか・・・4月17日,15964
2023/4/30,商品仕入高（5211）,伊藤園お茶ほか・・・4月21日,45126
2023/4/30,商品仕入高（5211）,伊藤園お茶・・・4月24日,4561
2023/4/30,商品仕入高（5211）,伊藤園お茶ほか・・・5月2日,14398
2023/4/30,商品仕入高（5211）,粉末うどんちゃんぽんスープ・・・4月7日,2000
2023/4/30,商品仕入高（5211）,粉末うどんちゃんぽんスープ・・・4月21日,4000
2023/4/30,商品仕入高（5211）,たまねぎポテトチップほか・・・4月7日,26481
2023/4/30,商品仕入高（5211）,佐賀牛ポテトチップほか・・・4月28日,14191
2023/4/30,商品仕入高（5211）,浅漬けの素ほか・・・4月24日,9234
2023/4/30,商品仕入高（5211）,からし漬けの素・・・4月28日,4374
2023/4/30,商品仕入高（5211）,黒糖ドーナツ棒,24861
2023/4/30,商品仕入高（5211）,天ぷら・ちくわほか,16783
2023/4/30,商品仕入高（5211）,ブラックモンブランカレーほか・・・4月7日,15220
2023/4/30,商品仕入高（5211）,ブラックモンブランカレーほか・・・4月28日,22005
2023/4/30,商品仕入高（5211）,ジャージーミックスほか,636715
2023/4/30,商品仕入高（5211）,ミルン牛乳・ヨーグルトほか,15057
2023/4/30,商品仕入高（5211）,明太トースト・・・4月21日,6350
2023/4/30,商品仕入高（5211）,いきさ屋豆腐,41296
2023/4/30,商品仕入高（5211）,いきさ屋豆腐,1384624
2023/4/30,商品仕入高（5211）,野菜等袋代・・・アサヒ,94226
2023/4/30,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,12430
2023/4/30,商品仕入高（5211）,ヤマト運輸振込手数料,330
2023/4/30,商品仕入高（5211）,ソフトクリーム用スプーン他,12760
2023/4/30,商品仕入高（5211）,アルミ保温保冷バッグ,1320
2023/4/30,商品仕入高（5211）,スタンプブック,30470
2023/4/30,商品仕入高（5211）,チオビタドリンク・・・4月7日,2895
2023/4/30,商品仕入高（5211）,チオビタドリンク・・・4月21日,5211
2023/4/30,商品仕入高（5211）,チオビタドリンク・・・4月21日,159642
2023/4/30,販売員給与（6111）,パート（９名）,870180
2023/4/30,広告宣伝費（6113）,きゅうらぎみんなの食堂協賛,450
2023/4/30,事業費（6116T）,こどもの日プレゼントお菓子代,15400
2023/4/30,その他の販売費（6117）,さよひめマルシェ出店料,1000
2023/4/30,役員報酬（6211）,役員給与（１名）,250000
2023/4/30,従業員給与（6212）,従業員給与（１名）,196500
2023/4/30,従業員賞与（6213）,従業員賞与（１名）,0
2023/4/30,販売員賞与（6213）,パート賞与（９名）,0
2023/4/30,法定福利費（6312）,唐津社会保険事務所社会保険料,0
2023/4/30,法定福利費（6312）,労働・労災保険料,0
2023/4/30,厚生費（6226）,従業員歓送迎会食事代,56550
2023/4/30,事務用消耗品費（6217）,電子複写機コピー代,1428
2023/4/30,事務用消耗品費（6217）,金庫用アルカリ電池代,89
2023/4/30,事務用消耗品費（6217）,シャチハタネーム代,4400
2023/4/30,事務用消耗品費（6217）,領収証代,330
2023/4/30,事務用消耗品費（6217）,ラミネートフィルム代,3165
2023/4/30,通信交通費（6218）,ＮＴＴファイナンス通話料,12199
2023/4/30,水道光熱費（6219）,電気料金・・・電灯,137725
2023/4/30,水道光熱費（6219）,電気料金・・・電力,101600
2023/4/30,水道光熱費（6219）,水道料金,49152
2023/4/30,租税公課費（6221）,消費税及び地方消費税（中間申告）,0
2023/4/30,接待交際費（6223）,佐賀県道の駅駅長会意見交換会会費,10000
2023/4/30,備品・消耗品費（6225）,トイレットペーパー代・・・4月3日,6600
2023/4/30,備品・消耗品費（6225）,布テープほか代,831
2023/4/30,備品・消耗品費（6225）,ペーパータオル代・・・4月21日,2890
2023/4/30,備品・消耗品費（6225）,ポリエチレン手袋代・・・4月21日,550
2023/4/30,備品・消耗品費（6225）,トイレマジックリン代,1980
2023/4/30,備品・消耗品費（6225）,パイプクリーナーほか代,740
2023/4/30,備品・消耗品費（6225）,レジロール紙代,17600
2023/4/30,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,31752
2023/4/30,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,55000
2023/4/30,施設管理諸費（6227B）,クリーン・リース代,2662
2023/4/30,施設管理諸費（6227B）,塵芥収集運搬料,60500
2023/4/30,施設管理諸費（6227B）,冷凍ショーケース保守点検業務,132000
2023/4/30,施設管理諸費（6227B）,草払い処理業務,20900
2023/4/30,車両費（6228）,ガソリン代・・・江頭火薬石油・・・4月7日,3000
2023/4/30,車両費（6228）,ガソリン代・・・唐津農協厳木SS・・・4月21日,2636
2023/4/30,リース料（6234）,ソフトサーバーリース代,15510
2023/4/30,会費（6313）,令和５年度佐賀県社会保険協会費,3500
2023/4/30,会費（6313）,令和５年度道の駅佐賀県駅長会会費,30000
2023/4/30,雑費(6231),コカ・コーラ振込手数料・・・4月18日分,660
2023/4/30,雑費(6231),佐賀富士ベンディング振込手数料,660
2023/4/30,雑費(6231),振込手数料（やまや）・・・4月21日,660
2023/4/30,雑費(6231),振込手数料（牛津かまぼこ）,660
2023/4/30,雑費(6231),振込手数料（東津商店）,110
2023/4/30,雑費(6231),振込手数料（コロンブスかわの）・・・4月24日,110
2023/4/30,雑費(6231),振込手数料（コロンブスかわの）・・・4月28日,110
2023/4/30,雑費(6231),計量器定期検査申請手数料,1500
2023/4/30,雑費(6231),履歴事項全部証明書代,600
2023/4/30,受取利息割引料,預金利息,0
2023/4/30,雑収入（7118）,雇用保険料預り（３月分）,4883
2023/5/31,商品売上高（4111）,野菜等,562405
2023/5/31,商品売上高（4111）,温泉たまご,88830
2023/5/31,商品売上高（4111）,あら塩・灘の塩（食塩）,1970
2023/5/31,商品売上高（4111）,ドリンク類（トライアル）,11630
2023/5/31,商品売上高（4111）,ドリンク類（コスモス）,300
2023/5/31,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,134460
2023/5/31,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,34190
2023/5/31,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,7980
2023/5/31,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,45300
2023/5/31,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,1890
2023/5/31,商品売上高（4111）,天ぷら・ちくわほか,18590
2023/5/31,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,24560
2023/5/31,商品売上高（4111）,やまや（明太トーストほか）,25920
2023/5/31,商品売上高（4111）,いきさ屋（豆腐）,59155
2023/5/31,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳）,15700
2023/5/31,商品売上高（4111）,ソフトクリーム・コーン,1136520
2023/5/31,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,3375
2023/5/31,商品売上高（4111）,キムチたけのこほか,1080
2023/5/31,商品売上高（4111）,お菓子セット,6500
2023/5/31,商品売上高（4111）,お菓子セット,2180355
2023/5/31,商品売上高（4111）,野菜袋（アサヒ）,41770
2023/5/31,商品売上高（4111）,中島潔グッズ,15565
2023/5/31,商品売上高（4111）,クロネコヤマト宅急便,10540
2023/5/31,商品売上高（4111）,宅配料コレクト,1695
2023/5/31,商品売上高（4111）,道の駅切符,3420
2023/5/31,商品売上高（4111）,連絡線記念指定券,2200
2023/5/31,商品売上高（4111）,道の駅スタンプブック,11520
2023/5/31,商品売上高（4111）,指定ごみ袋,27900
2023/5/31,商品売上高（4111）,粗大ごみ処理券,1110
2023/5/31,商品売上高（4111）,チオビタ,2200
2023/5/31,商品売上高（4111）,ソフトクリーム用カップ・スプーン,940
2023/5/31,商品売上高（4111）,キティちゃんグッズ,1100
2023/5/31,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,140
2023/5/31,商品売上高（4111）,アルミ保温保冷バッグ,2080
2023/5/31,商品売上高（4111）,レジ袋,14535
2023/5/31,商品売上高（4111）,あったか銀紙,136715
2023/5/31,手数料収入（4112）,風のふるさと館委託販売手数料,2661218
2023/5/31,その他の収入（4114）,バーコードラベル代金,33642
2023/5/31,その他の収入（4114）,コカ・コーラ自販機手数料,68798
2023/5/31,その他の収入（4114）,アルミ缶売却料,6300
2023/5/31,その他の収入（4114）,テナント使用料,45250
2023/5/31,その他の収入（4114）,テナント電気料,27905
2023/5/31,商品仕入高（5211）,野菜・・・辻青果,416980
2023/5/31,商品仕入高（5211）,たまご,37908
2023/5/31,商品仕入高（5211）,伊藤園お茶ほか・・・5月8日,4561
2023/5/31,商品仕入高（5211）,伊藤園お茶ほか・・・5月15日,18325
2023/5/31,商品仕入高（5211）,伊藤園お茶ほか・・・5月22日,46241
2023/5/31,商品仕入高（5211）,伊藤園お茶ほか・・・5月29日,26749
2023/5/31,商品仕入高（5211）,佐賀牛ポテトチップほか・・・5月12日,23652
2023/5/31,商品仕入高（5211）,黒糖ドーナツ棒,24861
2023/5/31,商品仕入高（5211）,天ぷら・ちくわほか,16783
2023/5/31,商品仕入高（5211）,ジャージーミックスほか,730611
2023/5/31,商品仕入高（5211）,ミルン牛乳・ヨーグルトほか,10936
2023/5/31,商品仕入高（5211）,明太トースト・・・5月19日,12701
2023/5/31,商品仕入高（5211）,いきさ屋豆腐,46422
2023/5/31,商品仕入高（5211）,いきさ屋豆腐,1416730
2023/5/31,商品仕入高（5211）,野菜等袋代・・・アサヒ,8811
2023/5/31,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,12606
2023/5/31,商品仕入高（5211）,ヤマト運輸振込手数料,330
2023/5/31,商品仕入高（5211）,ソフトクリーム用スプーン,3190
2023/5/31,商品仕入高（5211）,指定ごみ袋,47700
2023/5/31,商品仕入高（5211）,粗大ごみ処理券,5400
2023/5/31,商品仕入高（5211）,道の駅記念キップ,36000
2023/5/31,商品仕入高（5211）,チオビタドリンク・・・月日,114037
2023/5/31,販売員給与（6111）,パート（９名）,892640
2023/5/31,事業費（6116T）,母の日プレゼントバラ代,11000
2023/5/31,事業費（6116T）,母の日プレゼントラッピングシール代,550
2023/5/31,役員報酬（6211）,役員給与（１名）,250000
2023/5/31,従業員給与（6212）,従業員給与（１名）,196500
2023/5/31,法定福利費（6312）,唐津社会保険事務所社会保険料,132077
2023/5/31,修繕費（6216）,歩道補修セメント代,933
2023/5/31,修繕費（6216）,蒸し器パッキン代,6930
2023/5/31,事務用消耗品費（6217）,電子複写機コピー代,2273
2023/5/31,事務用消耗品費（6217）,名刺用紙代,110
2023/5/31,通信交通費（6218）,ＮＴＴファイナンス通話料,12124
2023/5/31,水道光熱費（6219）,電気料金・・・電灯,105036
2023/5/31,水道光熱費（6219）,電気料金・・・電力,91945
2023/5/31,租税公課費（6221）,消費税及び地方消費税（中間申告）,0
2023/5/31,地代家賃（6215）,風のふるさと館敷地使用料,4567
2023/5/31,地代家賃（6215）,行政財産使用料（旧本山小学校用地）,8773
2023/5/31,接待交際費（6223）,役員花植替え作業弁当・お茶代,1680
2023/5/31,備品・消耗品費（6225）,消毒液代,1953
2023/5/31,備品・消耗品費（6225）,アルコールディスペンサー代,440
2023/5/31,備品・消耗品費（6225）,ポップ用画用紙代,110
2023/5/31,備品・消耗品費（6225）,歩道花飾り用肥料ほか代,3418
2023/5/31,備品・消耗品費（6225）,歩道飾り用花種代,990
2023/5/31,備品・消耗品費（6225）,歩道飾り用花苗代,2400
2023/5/31,備品・消耗品費（6225）,ソフト用アルコールスプレー代,10890
2023/5/31,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,31752
2023/5/31,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,262570
2023/5/31,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2023/5/31,施設管理諸費（6227B）,クリーン・リース代,2662
2023/5/31,施設管理諸費（6227B）,塵芥収集運搬料,60500
2023/5/31,施設管理諸費（6227B）,衛生害虫駆除業務,10395
2023/5/31,施設管理諸費（6227B）,空調点検前期,91300
2023/5/31,車両費（6228）,ガソリン代・・・ENEOS・・・5月12日,3000
2023/5/31,車両費（6228）,ハイゼット軽自動車税,5000
2023/5/31,リース料（6234）,ソフトサーバーリース代,15510
2023/5/31,会費（6313）,令和５年度唐津市法人会年間会費,6000
2023/5/31,雑費(6231),コカ・コーラ振込手数料・・・5月18日分,660
2023/5/31,雑費(6231),振込手数料（道の駅ネットワーク）,880
2023/5/31,雑費(6231),振込手数料（やまや）・・・5月19日,660
2023/5/31,雑費(6231),振込手数料（牛津かまぼこ）,660
2023/5/31,雑費(6231),振込手数料（アプト）,110
2023/5/31,雑費(6231),通帳残高証明書発行手数料,550
2023/5/31,受取利息割引料,預金利息,0
2023/5/31,雑収入（7118）,雇用保険料預り（４月分）,4803
2023/6/30,商品売上高（4111）,野菜等,613910
2023/6/30,商品売上高（4111）,温泉たまご,82450
2023/6/30,商品売上高（4111）,あら塩・灘の塩（食塩）,3760
2023/6/30,商品売上高（4111）,ドリンク類（トライアル）,3740
2023/6/30,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,126970
2023/6/30,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,23900
2023/6/30,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,9320
2023/6/30,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,28560
2023/6/30,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,1280
2023/6/30,商品売上高（4111）,天ぷら・ちくわほか,15050
2023/6/30,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,18730
2023/6/30,商品売上高（4111）,やまや（明太トーストほか）,10120
2023/6/30,商品売上高（4111）,いきさ屋（豆腐）,46450
2023/6/30,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳）,10545
2023/6/30,商品売上高（4111）,ソフトクリーム・コーン,1105750
2023/6/30,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,3705
2023/6/30,商品売上高（4111）,キムチたけのこほか,2104240
2023/6/30,商品売上高（4111）,野菜袋（アサヒ）,39855
2023/6/30,商品売上高（4111）,中島潔グッズ,3865
2023/6/30,商品売上高（4111）,クロネコヤマト宅急便,17575
2023/6/30,商品売上高（4111）,道の駅切符,3780
2023/6/30,商品売上高（4111）,連絡線記念指定券,2400
2023/6/30,商品売上高（4111）,道の駅スタンプブック,8640
2023/6/30,商品売上高（4111）,指定ごみ袋,19200
2023/6/30,商品売上高（4111）,粗大ごみ処理券,920
2023/6/30,商品売上高（4111）,チオビタ,3100
2023/6/30,商品売上高（4111）,ソフトクリーム用カップ・スプーン,890
2023/6/30,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,200
2023/6/30,商品売上高（4111）,アルミ保温保冷バッグ,1440
2023/6/30,商品売上高（4111）,レジ袋,13535
2023/6/30,商品売上高（4111）,あったか銀紙,115400
2023/6/30,手数料収入（4112）,風のふるさと館委託販売手数料,2335585
2023/6/30,その他の収入（4114）,バーコードラベル代金,31706
2023/6/30,その他の収入（4114）,コカ・コーラ自販機手数料,88907
2023/6/30,その他の収入（4114）,佐賀富士ベンディング自販機手数料,160953
2023/6/30,その他の収入（4114）,テナント使用料,45250
2023/6/30,その他の収入（4114）,テナント電気料,28366
2023/6/30,その他の収入（4114）,テナント水道料,35671
2023/6/30,商品仕入高（5211）,野菜・・・辻青果,463650
2023/6/30,商品仕入高（5211）,たまご,42120
2023/6/30,商品仕入高（5211）,伊藤園お茶ほか・・・6月5日,26853
2023/6/30,商品仕入高（5211）,伊藤園お茶ほか・・・6月12日,33696
2023/6/30,商品仕入高（5211）,伊藤園ブラックコーヒーほか・・・6月19日,17340
2023/6/30,商品仕入高（5211）,伊藤園お茶ほか・・・6月26日,33693
2023/6/30,商品仕入高（5211）,伊藤園お茶ほか・・・7月3日,14497
2023/6/30,商品仕入高（5211）,粉末うどんちゃんぽんスープ・・・6月9日,2248
2023/6/30,商品仕入高（5211）,佐賀牛ポテトチップほか・・・6月19日,14191
2023/6/30,商品仕入高（5211）,佐賀県産たまねぎスープほか・・・6月30日,39895
2023/6/30,商品仕入高（5211）,からし漬けの素・・・6月19日,9234
2023/6/30,商品仕入高（5211）,黒糖ドーナツ棒,24861
2023/6/30,商品仕入高（5211）,天ぷら・ちくわほか,14385
2023/6/30,商品仕入高（5211）,わさびドレッシングほか・・・6月23日,14680
2023/6/30,商品仕入高（5211）,ジャージーミックスほか,769986
2023/6/30,商品仕入高（5211）,いきさ屋豆腐,41283
2023/6/30,商品仕入高（5211）,いきさ屋豆腐,1562612
2023/6/30,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,15686
2023/6/30,商品仕入高（5211）,ヤマト運輸振込手数料,605
2023/6/30,商品仕入高（5211）,ソフトクリーム用スプーン,6380
2023/6/30,商品仕入高（5211）,ソフトクリームカップ（アサヒ）,112640
2023/6/30,商品仕入高（5211）,アルミ保温保冷バッグ,440
2023/6/30,商品仕入高（5211）,チオビタドリンク・・・月日,135751
2023/6/30,販売員給与（6111）,パート（９名）,843300
2023/6/30,広告宣伝費（6113）,"スタンプラリー景品1,000円商品券",9000
2023/6/30,事業費（6116T）,父の日のプレゼントチオビタ代,2196
2023/6/30,事業費（6116T）,父の日プレゼント飲み物代,10782
2023/6/30,役員報酬（6211）,役員給与（１名）,250000
2023/6/30,従業員給与（6212）,従業員給与（１名）,196500
2023/6/30,法定福利費（6312）,唐津社会保険事務所社会保険料,132077
2023/6/30,法定福利費（6312）,労働・労災保険料,261554
2023/6/30,事務用消耗品費（6217）,電子複写機コピー代,3155
2023/6/30,事務用消耗品費（6217）,コピー用紙代,2420
2023/6/30,通信交通費（6218）,ＮＴＴファイナンス通話料,10962
2023/6/30,水道光熱費（6219）,電気料金・・・電灯,110547
2023/6/30,水道光熱費（6219）,電気料金・・・電力,122005
2023/6/30,水道光熱費（6219）,水道料金,59052
2023/6/30,租税公課費（6221）,消費税及び地方消費税（中間申告）,0
2023/6/30,租税公課費（6221）,役員変更登記印紙代,10000
2023/6/30,租税公課費（6221）,唐津市固定資産税,66200
2023/6/30,地代家賃（6215）,風のふるさと館敷地使用料,600000
2023/6/30,接待交際費（6223）,役員草刈り作業お茶代,750
2023/6/30,接待交際費（6223）,役員会食事代,20350
2023/6/30,備品・消耗品費（6225）,トイレットペーパー代・・・6月5日,7920
2023/6/30,備品・消耗品費（6225）,トイレットペーパー代・・・6月16日,7920
2023/6/30,備品・消耗品費（6225）,トイレットペーパー代・・・6月23日,7920
2023/6/30,備品・消耗品費（6225）,トイレットペーパー代・・・6月30日,7920
2023/6/30,備品・消耗品費（6225）,棚作製用材料代,1892
2023/6/30,備品・消耗品費（6225）,ペーパーホルダー,4046
2023/6/30,備品・消耗品費（6225）,布テープほか代,1115
2023/6/30,備品・消耗品費（6225）,ディスプレイ棚用キャスター,405
2023/6/30,備品・消耗品費（6225）,ゴム製段差プレート代,3960
2023/6/30,備品・消耗品費（6225）,スタンプ台作製材料ほか代,14895
2023/6/30,備品・消耗品費（6225）,日付シャチハタ代,2959
2023/6/30,備品・消耗品費（6225）,ごみ袋代,17820
2023/6/30,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,31752
2023/6/30,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,66000
2023/6/30,運営管理諸費（6227A）,産直システムハードウェア保守契約代,82456
2023/6/30,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2023/6/30,施設管理諸費（6227B）,クリーン・リース代,2662
2023/6/30,施設管理諸費（6227B）,塵芥収集運搬料,60500
2023/6/30,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・6月9日,3549
2023/6/30,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・6月30日,2495
2023/6/30,リース料（6234）,ソフトサーバーリース代,15510
2023/6/30,会費（6313）,令和５年度佐賀県食品衛生協会会費（ソフト）,3000
2023/6/30,会費（6313）,令和５年度唐津東商工会会費,24000
2023/6/30,会費（6313）,令和５年度唐津観光協会会費,20000
2023/6/30,雑費(6231),コカ・コーラ振込手数料・・・6月18日分,660
2023/6/30,雑費(6231),振込手数料（牛津かまぼこ）,660
2023/6/30,雑費(6231),振込手数料（コロンブスかわの）,110
2023/6/30,雑費(6231),印鑑証明書代,300
2023/6/30,雑費(6231),振込手数料（食品衛生）,660
2023/6/30,雑費(6231),期限切れ商品返品着払い代,750
2023/6/30,雑費(6231),NHK受信料,13650
2023/6/30,雑費(6231),中島区集会所使用料,4500
2023/6/30,受取利息割引料,預金利息,0
2023/6/30,雑収入（7118）,雇用保険料預り（５月分）,4975
2023/7/31,商品売上高（4111）,野菜等,513020
2023/7/31,商品売上高（4111）,温泉たまご,77130
2023/7/31,商品売上高（4111）,あら塩・灘の塩（食塩）,970
2023/7/31,商品売上高（4111）,オロナミンC（トライアル）,5830
2023/7/31,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,143010
2023/7/31,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,20855
2023/7/31,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,9420
2023/7/31,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,58870
2023/7/31,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,370
2023/7/31,商品売上高（4111）,天ぷら・ちくわほか,18200
2023/7/31,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,28195
2023/7/31,商品売上高（4111）,やまや（明太トースト）,10260
2023/7/31,商品売上高（4111）,いきさ屋（豆腐）,47985
2023/7/31,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳）,4860
2023/7/31,商品売上高（4111）,ソフトクリーム・コーン,1130030
2023/7/31,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,960
2023/7/31,商品売上高（4111）,ゼリー,1170
2023/7/31,商品売上高（4111）,みりん,660
2023/7/31,商品売上高（4111）,みりん,2071795
2023/7/31,商品売上高（4111）,野菜袋（アサヒ）,36625
2023/7/31,商品売上高（4111）,中島潔グッズ,550
